lig_name,LF Rank Score,LF dG,LF VSscore,LF LE
A O6K 502,-11.361,-10.040,-14.041,-0.233
W_DAR-DIA-9e4459de-1,-4.379,-9.887,-11.128,-0.220
AR-DIA-9e4459de-1,-5.451,-10.774,-12.180,-0.239
W_Baicalein,-11.556,-7.804,-9.385,-0.390
Baicalein,-10.577,-6.334,-7.792,-0.317
W_Baicalin,-11.637,-8.709,-12.127,-0.272
Baicalin,-12.722,-8.167,-11.483,-0.255
W_Forsythoside_E,-9.426,-6.869,-12.584,-0.215
Forsythoside_E,-10.232,-5.812,-12.952,-0.182
W_Lopinavir,-12.381,-8.751,-11.090,-0.190
Lopinavir,-13.118,-9.962,-11.669,-0.217
W_VTRRT-13V2,-14.027,-7.110,-13.369,-0.139
VTRRT-13V2,-13.570,-8.761,-13.341,-0.172
W_Wogonin,-10.734,-6.526,-7.439,-0.311
Wogonin,-10.335,-6.434,-7.672,-0.306
W_Wogonoside,-11.224,-6.490,-10.219,-0.197
Wogonoside,-11.993,-7.583,-11.127,-0.230
W_NHC,-8.271,-5.931,-7.995,-0.330
NHC,-8.231,-6.088,-7.246,-0.338
