Ligand_Name,Site_Number,RMSD Value
Amentoflavone,Site 1,0
Amentoflavone,Site 1,0.13505407
Amentoflavone,Site 1,0.09418068
Amentoflavone,Site 1,0.21995384
Amentoflavone,Site 2,0
Amentoflavone,Site 2,0.08474103
Amentoflavone,Site 2,0.30790606
Amentoflavone,Site 2,0.0432774
Amentoflavone,Site 3d,0
Amentoflavone,Site 3d,0.052103143
Amentoflavone,Site 3d,0.08995168
Amentoflavone,Site 3d,0.04225452
Amentoflavone,Site 3m,0
Amentoflavone,Site 3m,0.29523292
Amentoflavone,Site 3m,0.08021445
Amentoflavone,Site 3m,0.32906157
Apigenin,Site 1,0
Apigenin,Site 1,0.10391571
Apigenin,Site 1,0.10027175
Apigenin,Site 1,0.09273242
Apigenin,Site 2,0.000143986
Apigenin,Site 2,0.05261039
Apigenin,Site 2,0.036259394
Apigenin,Site 2,0.03619444
Apigenin,Site 3d,0
Apigenin,Site 3d,0.11219535
Apigenin,Site 3d,0.055163477
Apigenin,Site 3d,0.09061017
Apigenin,Site 3m,0
Apigenin,Site 3m,0.0748845
Apigenin,Site 3m,0.10256575
Apigenin,Site 3m,0.050317388
Baicalein,Site 1,0
Baicalein,Site 1,0.10692967
Baicalein,Site 1,0.09847167
Baicalein,Site 1,0.045664087
Baicalein,Site 2,0
Baicalein,Site 2,0.000143986
Baicalein,Site 2,0.000477548
Baicalein,Site 2,0.10073907
Baicalein,Site 3d,0
Baicalein,Site 3d,0.11197459
Baicalein,Site 3d,0.10565062
Baicalein,Site 3d,0.09168083
Baicalein,Site 3m,0
Baicalein,Site 3m,0.050392937
Baicalein,Site 3m,0.10018901
Baicalein,Site 3m,0.10142155
Baicalin,Site 1,0
Baicalin,Site 1,0.2965041
Baicalin,Site 1,0.20015563
Baicalin,Site 1,0.16486698
Baicalin,Site 2,0.000224039
Baicalin,Site 2,0.21137667
Baicalin,Site 2,0.16573678
Baicalin,Site 2,0.24005102
Baicalin,Site 3d,0
Baicalin,Site 3d,0.25547406
Baicalin,Site 3d,0.12693256
Baicalin,Site 3d,0.31355682
Baicalin,Site 3m,0.000158419
Baicalin,Site 3m,0.29733685
Baicalin,Site 3m,0.27247438
Baicalin,Site 3m,0.29596704
Baricitinib,Site 1,0
Baricitinib,Site 1,0.16606121
Baricitinib,Site 1,0.0781094
Baricitinib,Site 1,0.16389152
Baricitinib,Site 2,0.000132893
Baricitinib,Site 2,0.005121137
Baricitinib,Site 2,0.005482554
Baricitinib,Site 2,0.001561143
Baricitinib,Site 3d,0
Baricitinib,Site 3d,0.1355001
Baricitinib,Site 3d,0.18370664
Baricitinib,Site 3d,0.16337135
Baricitinib,Site 3m,0
Baricitinib,Site 3m,0.14704718
Baricitinib,Site 3m,0.19926848
Baricitinib,Site 3m,0.1306874
Berchemol,Site 1,0.000175396
Berchemol,Site 1,0.22314283
Berchemol,Site 1,0.19041547
Berchemol,Site 1,0.19459696
Berchemol,Site 2,0
Berchemol,Site 2,0.24261367
Berchemol,Site 2,0.21832812
Berchemol,Site 2,0.21844067
Berchemol,Site 3d,0.000175396
Berchemol,Site 3d,0.21747516
Berchemol,Site 3d,0.20946527
Berchemol,Site 3d,0.21349806
Berchemol,Site 3m,0
Berchemol,Site 3m,0.11481166
Berchemol,Site 3m,0.17025296
Berchemol,Site 3m,0.08995907
Camostat,Site 1,0.000236851
Camostat,Site 1,0.1950173
Camostat,Site 1,0.279706
Camostat,Site 1,0.3853785
Camostat,Site 2,0
Camostat,Site 2,0.14180604
Camostat,Site 2,0.38262993
Camostat,Site 2,0.3821338
Camostat,Site 3d,0
Camostat,Site 3d,0.24048334
Camostat,Site 3d,0.33101037
Camostat,Site 3d,0.23380908
Camostat,Site 3m,0.000236851
Camostat,Site 3m,0.32591164
Camostat,Site 3m,0.21812876
Camostat,Site 3m,0.1535775
Chrysin,Site 1,0
Chrysin,Site 1,0.061347507
Chrysin,Site 1,0.07193953
Chrysin,Site 1,0.040349483
Chrysin,Site 2,0.000150687
Chrysin,Site 2,0.000426207
Chrysin,Site 2,0.1117734
Chrysin,Site 2,0.000583608
Chrysin,Site 3d,0
Chrysin,Site 3d,0.06110292
Chrysin,Site 3d,0.073942125
Chrysin,Site 3d,0.0650634
Chrysin,Site 3m,0
Chrysin,Site 3m,0.10480832
Chrysin,Site 3m,0.063116215
Chrysin,Site 3m,0.112642236
Curcumin,Site 1,0.000362686
Curcumin,Site 1,0.20221911
Curcumin,Site 1,0.24503808
Curcumin,Site 1,0.11118418
Curcumin,Site 2,0
Curcumin,Site 2,0.2728435
Curcumin,Site 2,0.19615565
Curcumin,Site 2,0.16942522
Curcumin,Site 3d,0
Curcumin,Site 3d,0.18273717
Curcumin,Site 3d,0.19278853
Curcumin,Site 3d,0.2457452
Curcumin,Site 3m,0
Curcumin,Site 3m,0.24190749
