Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean,RMSD_Value
Amentoflavone,Site1,WOW,-6.575358,0,0
Amentoflavone,Site2,WOW,-6.56654628,0,0.13505407
Amentoflavone,Site3,WOW,-6.7975614,0,0.09418068
Amentoflavone,Site4,WOW,-5.11048716,-6.26248821,0.21995384
Amentoflavone,Site5,WOW,1.431350484,0,0
Amentoflavone,Site6,WOW,1.413774804,0,0.08474103
Amentoflavone,Site7,WOW,1.370358576,0,0.30790606
Amentoflavone,Site8,WOW,1.359168408,1.393663068,0.0432774
Amentoflavone,Site9,WOW,-3.3128724,0,0
Amentoflavone,Site10,WOW,-3.8616348,0,0.052103143
Amentoflavone,Site11,WOW,-3.6923256,0,0.08995168
Amentoflavone,Site12,WOW,-3.0430284,-3.4774653,0.04225452
Amentoflavone,Site13,WOW,-2.6002932,0,0
Amentoflavone,Site14,WOW,-4.1071212,0,0.29523292
Amentoflavone,Site15,WOW,-3.4819428,0,0.08021445
Amentoflavone,Site16,WOW,-0.6844008,-2.7184395,0.32906157
Apigenin,Site17,WOW,-6.8976186,0,0
Apigenin,Site18,WOW,-6.53418888,0,0.10391571
Apigenin,Site19,WOW,-5.31088812,0,0.10027175
Apigenin,Site20,WOW,-4.22014524,-5.74071021,0.09273242
Apigenin,Site21,WOW,1.48968216,0,0.000143986
Apigenin,Site22,WOW,1.490037972,0,0.05261039
Apigenin,Site23,WOW,1.49049408,0,0.036259394
Apigenin,Site24,WOW,1.490615868,1.49020752,0.03619444
Apigenin,Site25,WOW,-3.4800324,0,0
Apigenin,Site26,WOW,-4.362876,0,0.11219535
Apigenin,Site27,WOW,-3.6896988,0,0.055163477
Apigenin,Site28,WOW,-3.6003876,-3.7832487,0.09061017
Apigenin,Site29,WOW,-2.2258548,0,0
Apigenin,Site30,WOW,-4.104972,0,0.0748845
Apigenin,Site31,WOW,-2.1451404,0,0.10256575
Apigenin,Site32,WOW,-4.4120688,-3.222009,0.050317388
Baicalein,Site33,WOW,-6.16321308,0,0
Baicalein,Site34,WOW,-5.40139332,0,0.10692967
Baicalein,Site35,WOW,-6.5255682,0,0.09847167
Baicalein,Site36,WOW,-6.21839976,-6.07714359,0.045664087
Baicalein,Site37,WOW,1.4895747,0,0
Baicalein,Site38,WOW,1.489082772,0,0.000143986
Baicalein,Site39,WOW,1.48904934,0,0.000477548
Baicalein,Site40,WOW,1.489070832,1.489194411,0.10073907
Baicalein,Site41,WOW,-3.6433716,0,0
Baicalein,Site42,WOW,-4.109748,0,0.11197459
Baicalein,Site43,WOW,-3.3541848,0,0.10565062
Baicalein,Site44,WOW,-4.3698012,-3.8692764,0.09168083
Baicalein,Site45,WOW,-2.8629732,0,0
Baicalein,Site46,WOW,-2.7447672,0,0.050392937
Baicalein,Site47,WOW,-2.0706348,0,0.10018901
Baicalein,Site48,WOW,-4.6573164,-3.0839229,0.10142155
Baicalin,Site49,WOW,-5.9291652,0,0
Baicalin,Site50,WOW,-5.72866872,0,0.2965041
Baicalin,Site51,WOW,-5.68432356,0,0.20015563
Baicalin,Site52,WOW,-4.27385136,-5.40400221,0.16486698
Baicalin,Site53,WOW,1.574840628,0,0.000224039
Baicalin,Site54,WOW,1.220535456,0,0.21137667
Baicalin,Site55,WOW,1.731894612,0,0.16573678
Baicalin,Site56,WOW,0.9448719,1.368035649,0.24005102
Baicalin,Site57,WOW,-3.3448716,0,0
Baicalin,Site58,WOW,-2.1322452,0,0.25547406
Baicalin,Site59,WOW,-2.2540332,0,0.12693256
Baicalin,Site60,WOW,-2.864406,-2.648889,0.31355682
Baicalin,Site61,WOW,-2.27457,0,0.000158419
Baicalin,Site62,WOW,-2.1358272,0,0.29733685
Baicalin,Site63,WOW,-2.1358272,0,0.27247438
Baicalin,Site64,WOW,-3.7630104,-2.5773087,0.29596704
Baricitinib,Site65,WOW,-7.2277596,0,0
Baricitinib,Site66,WOW,-5.4600426,0,0.16606121
